dt,n_dom,order,h,ndof,l2_err_u,l2_err_v,rel_err_u,rel_err_v
1.0,10,1,0.15,121,0.09579383316999317,0.02565834632712596,0.0967116322158626,1.1342393833429605
1.0,10,2,0.15,121,0.08470910359939023,0.024025873012170882,0.08552070004445585,1.0620751252699077
1.0,10,3,0.15,121,0.09684039928397481,0.025928309870590017,0.09776822546154015,1.146173249974889
1.0,20,1,0.075,441,0.08777748629816184,0.024846228408775563,0.08861848086438101,1.0983393251253466
1.0,20,2,0.075,441,0.09652430993336585,0.025828343303119995,0.09744910766437259,1.1417541803904145
1.0,20,3,0.075,441,0.09197230213974207,0.024903009020120326,0.09285348716342177,1.1008493390123066
1.0,40,1,0.0375,1681,0.058095741845378426,0.02549565214484068,0.05865235613536246,1.127047409759158
1.0,40,2,0.0375,1681,0.06056102248221146,0.027613040921455875,0.061141256583005975,1.22064758607864
1.0,40,3,0.0375,1681,0.06828625917454888,0.031473986729163114,0.0689405086334381,1.3913225288914872
5.0,10,1,0.15,121,0.09650617950419457,0.02578711555488622,0.09743080352787545,1.1399316882026052
5.0,10,2,0.15,121,0.08526741519149578,0.024103259881606793,0.08608436081019372,1.0654960485807383
5.0,10,3,0.15,121,0.09759908797931399,0.02607725228890322,0.09853418314004507,1.152757320302234
5.0,20,1,0.075,441,0.08836336606914034,0.024936747356574453,0.08920997393923309,1.1023407581960243
5.0,20,2,0.075,441,0.09720210895224911,0.025954350928539646,0.09813340066384141,1.1473244073072366
5.0,20,3,0.075,441,0.09258831904509295,0.025002120360056113,0.09347540611600536,1.1052306028575225
5.0,40,1,0.0375,1681,0.05798115216512966,0.025414536319372523,0.05853666857338459,1.1234616461762148
5.0,40,2,0.0375,1681,0.060549907717436374,0.02755894886441418,0.06113003532786331,1.218256421011316
5.0,40,3,0.0375,1681,0.06830197778071706,0.03144763167791441,0.068956377839298,1.390157491336253
10.0,10,1,0.15,121,0.09877007443352995,0.02623720283611958,0.09971638879506801,1.1598280101949907
10.0,10,2,0.15,121,0.0870558192849968,0.024381725413266477,0.08788989957214183,1.0778057496380522
10.0,10,3,0.15,121,0.10000080573187381,0.026591480747853145,0.10095891170852908,1.1754890335132349
10.0,20,1,0.075,441,0.09023757598242779,0.02525681924471623,0.09110214062503137,1.116489687998548
10.0,20,2,0.075,441,0.09935710079125522,0.026393032216278055,0.1003090394420945,1.1667165219410032
10.0,20,3,0.075,441,0.09455219172183134,0.02535287120376089,0.09545809462262833,1.1207357104587141
10.0,40,1,0.0375,1681,0.05764840958981487,0.025181898760393433,0.058200737997255565,1.113177792412814
10.0,40,2,0.0375,1681,0.060520375026172774,0.02738681209676015,0.061100219684399486,1.2106470334574446
10.0,40,3,0.0375,1681,0.06835890227251447,0.03136442058610921,0.06901384772365911,1.3864791055099364
